coin,signal,staking,annual_pct,max_dd_pct,calmar,pct_hedged,trades,funding_apr,hedge_apr,spot_price_apr,staking_apr,fees_apr,bh_annual,bh_max_dd
BTC,ma50,0.0%,18.17,43.62,0.42,46.7,949,3.04,-8.94,35.46,0.0,-11.39,70.82,50.09
BTC,ma100,0.0%,18.46,44.33,0.42,46.9,671,2.73,-11.66,35.46,0.0,-8.07,70.82,50.09
BTC,ma200,0.0%,22.82,42.73,0.53,45.6,445,2.3,-9.57,35.46,0.0,-5.37,70.82,50.09
BTC,mom3d,0.0%,23.59,42.04,0.56,46.2,678,2.8,-6.52,35.46,0.0,-8.15,70.82,50.09
BTC,mom7d,0.0%,23.23,42.06,0.55,44.5,434,2.23,-9.22,35.46,0.0,-5.24,70.82,50.09
BTC,mom14d,0.0%,31.81,37.24,0.85,43.1,300,1.86,-1.87,35.46,0.0,-3.63,70.82,50.09
BTC,mom21d,0.0%,34.55,37.73,0.92,43.9,216,1.62,0.11,35.46,0.0,-2.63,70.82,50.09
BTC,mom30d,0.0%,28.21,39.96,0.71,41.1,211,1.34,-6.02,35.46,0.0,-2.57,70.82,50.09
BTC,dd5,0.0%,22.04,40.83,0.54,73.2,162,3.12,-14.55,35.46,0.0,-1.99,70.82,50.09
BTC,dd8,0.0%,28.54,38.1,0.75,59.9,126,2.13,-7.49,35.46,0.0,-1.56,70.82,50.09
BTC,dd10,0.0%,25.92,39.73,0.65,53.4,121,1.69,-9.73,35.46,0.0,-1.5,70.82,50.09
BTC,dd12,0.0%,23.3,42.18,0.55,45.5,140,1.27,-11.7,35.46,0.0,-1.73,70.82,50.09
BTC,dd15,0.0%,26.08,40.23,0.65,35.1,87,0.69,-8.98,35.46,0.0,-1.09,70.82,50.09
BTC,dd20,0.0%,29.2,38.78,0.75,24.0,51,0.47,-6.06,35.46,0.0,-0.66,70.82,50.09
BTC,combo_mom14_dd10,0.0%,26.21,39.51,0.66,63.5,209,2.49,-9.19,35.46,0.0,-2.55,70.82,50.09
BTC,mom14d_lt90d,0.0%,39.53,34.28,1.15,21.5,132,0.66,5.03,35.46,0.0,-1.62,70.82,50.09
BTC,mom14d_lt180d,0.0%,36.78,36.72,1.0,11.6,68,0.28,1.9,35.46,0.0,-0.86,70.82,50.09
BTC,mom21d_lt90d,0.0%,36.36,37.01,0.98,24.0,125,0.77,1.67,35.46,0.0,-1.54,70.82,50.09
BTC,mom21d_lt180d,0.0%,35.52,38.52,0.92,12.1,64,0.3,0.58,35.46,0.0,-0.81,70.82,50.09
ETH,ma50,3.5%,-5.34,54.31,-0.1,48.9,973,2.75,-3.18,4.42,2.32,-11.66,13.41,64.92
ETH,ma100,3.5%,-3.4,47.05,-0.07,49.0,648,2.48,-4.84,4.42,2.32,-7.77,13.41,64.92
ETH,ma200,3.5%,-2.97,46.53,-0.06,49.4,465,2.19,-6.31,4.42,2.32,-5.59,13.41,64.92
ETH,mom3d,3.5%,3.44,39.42,0.09,47.9,716,2.53,2.76,4.42,2.32,-8.58,13.41,64.92
ETH,mom7d,3.5%,1.7,41.94,0.04,48.7,462,2.22,-1.7,4.42,2.32,-5.55,13.41,64.92
ETH,mom14d,3.5%,17.24,32.73,0.53,50.7,301,1.89,12.24,4.42,2.32,-3.62,13.41,64.92
ETH,mom21d,3.5%,-0.62,46.62,-0.01,51.7,285,1.83,-5.75,4.42,2.32,-3.44,13.41,64.92
ETH,mom30d,3.5%,17.35,33.33,0.52,50.1,202,1.6,11.45,4.42,2.32,-2.44,13.41,64.92
ETH,dd5,3.5%,6.94,35.6,0.19,89.2,89,4.6,-3.3,4.42,2.32,-1.09,13.41,64.92
ETH,dd8,3.5%,1.23,41.26,0.03,80.6,112,3.5,-7.64,4.42,2.32,-1.37,13.41,64.92
ETH,dd10,3.5%,0.82,43.59,0.02,74.7,85,2.97,-7.84,4.42,2.32,-1.05,13.41,64.92
ETH,dd12,3.5%,3.11,41.76,0.07,70.9,85,2.56,-5.15,4.42,2.32,-1.05,13.41,64.92
ETH,dd15,3.5%,0.76,43.34,0.02,65.6,97,2.16,-6.95,4.42,2.32,-1.19,13.41,64.92
ETH,dd20,3.5%,-1.54,48.08,-0.03,52.8,95,1.54,-8.65,4.42,2.32,-1.17,13.41,64.92
ETH,combo_mom14_dd10,3.5%,-0.62,44.84,-0.01,79.6,130,3.35,-9.13,4.42,2.32,-1.59,13.41,64.92
ETH,mom14d_lt90d,3.5%,16.14,32.77,0.49,26.4,122,0.67,10.23,4.42,2.32,-1.48,13.41,64.92
ETH,mom14d_lt180d,3.5%,2.06,51.01,0.04,19.5,153,0.34,-3.15,4.42,2.32,-1.86,13.41,64.92
ETH,mom21d_lt90d,3.5%,5.86,42.03,0.14,27.9,125,0.67,-0.03,4.42,2.32,-1.52,13.41,64.92
ETH,mom21d_lt180d,3.5%,-7.67,63.47,-0.12,20.1,176,0.35,-12.63,4.42,2.32,-2.14,13.41,64.92
SOL,ma50,8.5%,79.97,69.72,1.15,49.0,916,1.7,-6.56,70.98,24.89,-11.04,191.56,71.16
SOL,ma100,8.5%,81.34,68.88,1.18,48.9,588,1.38,-8.8,70.98,24.89,-7.12,191.56,71.16
SOL,ma200,8.5%,80.42,68.48,1.17,47.9,436,1.19,-11.34,70.98,24.89,-5.3,191.56,71.16
SOL,mom3d,8.5%,76.18,70.5,1.08,48.2,654,1.61,-13.38,70.98,24.89,-7.91,191.56,71.16
SOL,mom7d,8.5%,89.37,66.3,1.35,47.4,420,1.19,-2.58,70.98,24.89,-5.11,191.56,71.16
SOL,mom14d,8.5%,92.16,65.75,1.4,46.6,284,0.91,-1.13,70.98,24.89,-3.48,191.56,71.16
SOL,mom21d,8.5%,89.99,66.84,1.35,45.7,243,0.34,-3.22,70.98,24.89,-3.0,191.56,71.16
SOL,mom30d,8.5%,94.5,66.18,1.43,42.8,157,0.04,0.55,70.98,24.89,-1.97,191.56,71.16
SOL,dd5,8.5%,74.97,70.51,1.06,93.5,120,4.58,-23.95,70.98,24.89,-1.53,191.56,71.16
SOL,dd8,8.5%,85.33,68.15,1.25,90.2,91,3.71,-13.07,70.98,24.89,-1.18,191.56,71.16
SOL,dd10,8.5%,81.32,69.19,1.18,87.9,114,3.24,-16.33,70.98,24.89,-1.46,191.56,71.16
SOL,dd12,8.5%,74.5,70.98,1.05,85.2,122,2.74,-22.55,70.98,24.89,-1.56,191.56,71.16
SOL,dd15,8.5%,80.55,69.3,1.16,80.5,125,2.04,-15.77,70.98,24.89,-1.59,191.56,71.16
SOL,dd20,8.5%,75.82,70.57,1.07,69.9,140,0.93,-19.2,70.98,24.89,-1.77,191.56,71.16
SOL,combo_mom14_dd10,8.5%,84.78,68.38,1.24,88.3,101,3.41,-13.2,70.98,24.89,-1.3,191.56,71.16
SOL,mom14d_lt90d,8.5%,90.47,66.77,1.35,22.8,155,-0.14,-3.31,70.98,24.89,-1.94,191.56,71.16
SOL,mom14d_lt180d,8.5%,94.94,66.24,1.43,19.8,110,-0.1,0.57,70.98,24.89,-1.41,191.56,71.16
