time,fundingRate
2023-06-01 00:00:00+00:00,0.0001
2023-06-01 08:00:00+00:00,0.0001
2023-06-01 16:00:00+00:00,0.0001
2023-06-02 00:00:00+00:00,0.0001
2023-06-02 08:00:00+00:00,0.0001
2023-06-02 16:00:00+00:00,0.0001
2023-06-03 00:00:00+00:00,0.0001
2023-06-03 08:00:00+00:00,0.0001
2023-06-03 16:00:00+00:00,0.0001
2023-06-04 00:00:00+00:00,0.0001
2023-06-04 08:00:00+00:00,0.0001
2023-06-04 16:00:00+00:00,0.0001
2023-06-05 00:00:00+00:00,0.00020018
2023-06-05 08:00:00+00:00,0.0001
2023-06-05 16:00:00+00:00,0.00021644
2023-06-06 00:00:00+00:00,0.0001
2023-06-06 08:00:00+00:00,0.0001
2023-06-06 16:00:00+00:00,0.0001
2023-06-07 00:00:00+00:00,0.0001
2023-06-07 08:00:00+00:00,0.0001
2023-06-07 16:00:00+00:00,0.0001
2023-06-08 00:00:00+00:00,0.0001
2023-06-08 08:00:00+00:00,0.0001
2023-06-08 16:00:00+00:00,0.0001
2023-06-09 00:00:00+00:00,0.0001
2023-06-09 08:00:00+00:00,0.0001
2023-06-09 16:00:00+00:00,0.0001
2023-06-10 00:00:00+00:00,0.0001
2023-06-10 08:00:00+00:00,-0.00018614
2023-06-10 16:00:00+00:00,2.813e-05
2023-06-11 00:00:00+00:00,7.163e-05
2023-06-11 08:00:00+00:00,1.758e-05
2023-06-11 16:00:00+00:00,1.22e-05
2023-06-12 00:00:00+00:00,7.212e-05
2023-06-12 08:00:00+00:00,8.792e-05
2023-06-12 16:00:00+00:00,0.0001
2023-06-13 00:00:00+00:00,7.36e-05
2023-06-13 08:00:00+00:00,-9.465e-05
2023-06-13 16:00:00+00:00,-1.45e-05
2023-06-14 00:00:00+00:00,-8.537e-05
2023-06-14 08:00:00+00:00,-4.148e-05
2023-06-14 16:00:00+00:00,4.015e-05
2023-06-15 00:00:00+00:00,-0.00018735
2023-06-15 08:00:00+00:00,-4.582e-05
2023-06-15 16:00:00+00:00,-0.00010109
2023-06-16 00:00:00+00:00,-0.00021778
2023-06-16 08:00:00+00:00,0.0001
2023-06-16 16:00:00+00:00,3.562e-05
2023-06-17 00:00:00+00:00,0.0001
2023-06-17 08:00:00+00:00,8.186e-05
2023-06-17 16:00:00+00:00,0.0001
2023-06-18 00:00:00+00:00,5.655e-05
2023-06-18 08:00:00+00:00,0.0001
2023-06-18 16:00:00+00:00,2.556e-05
2023-06-19 00:00:00+00:00,0.0001
2023-06-19 08:00:00+00:00,9.306e-05
2023-06-19 16:00:00+00:00,1.014e-05
2023-06-20 00:00:00+00:00,2.696e-05
2023-06-20 08:00:00+00:00,3.181e-05
2023-06-20 16:00:00+00:00,0.0001
2023-06-21 00:00:00+00:00,0.0001
2023-06-21 08:00:00+00:00,0.0001
2023-06-21 16:00:00+00:00,0.0001
2023-06-22 00:00:00+00:00,0.0001
2023-06-22 08:00:00+00:00,2.537e-05
2023-06-22 16:00:00+00:00,0.0001
2023-06-23 00:00:00+00:00,4.073e-05
2023-06-23 08:00:00+00:00,0.0001
2023-06-23 16:00:00+00:00,1.836e-05
2023-06-24 00:00:00+00:00,7.806e-05
2023-06-24 08:00:00+00:00,5.084e-05
2023-06-24 16:00:00+00:00,5.993e-05
2023-06-25 00:00:00+00:00,0.0001
2023-06-25 08:00:00+00:00,-0.0007814
2023-06-25 16:00:00+00:00,-0.00123867
2023-06-26 00:00:00+00:00,-0.00011239
2023-06-26 08:00:00+00:00,1.211e-05
2023-06-26 16:00:00+00:00,0.0001
2023-06-27 00:00:00+00:00,0.0001
2023-06-27 08:00:00+00:00,0.0001
2023-06-27 16:00:00+00:00,0.0001
2023-06-28 00:00:00+00:00,0.0001
2023-06-28 08:00:00+00:00,0.0001
2023-06-28 16:00:00+00:00,0.0001
2023-06-29 00:00:00+00:00,0.0001
2023-06-29 08:00:00+00:00,0.0001
2023-06-29 16:00:00+00:00,0.0001
2023-06-30 00:00:00+00:00,7.741e-05
2023-06-30 08:00:00+00:00,0.0001
2023-06-30 16:00:00+00:00,0.0001
2023-07-01 00:00:00+00:00,0.0001
2023-07-01 08:00:00+00:00,0.0001
2023-07-01 16:00:00+00:00,0.0001
2023-07-02 00:00:00+00:00,0.0001
2023-07-02 08:00:00+00:00,0.0001
2023-07-02 16:00:00+00:00,0.0001
2023-07-03 00:00:00+00:00,0.0001
2023-07-03 08:00:00+00:00,0.0001
2023-07-03 16:00:00+00:00,0.0001
2023-07-04 00:00:00+00:00,0.0001
2023-07-04 08:00:00+00:00,0.0001
2023-07-04 16:00:00+00:00,0.0001
2023-07-05 00:00:00+00:00,0.0001
2023-07-05 08:00:00+00:00,0.0001
2023-07-05 16:00:00+00:00,0.0001
2023-07-06 00:00:00+00:00,0.0001
2023-07-06 08:00:00+00:00,0.0001
2023-07-06 16:00:00+00:00,0.0001
2023-07-07 00:00:00+00:00,0.0001
2023-07-07 08:00:00+00:00,0.0001
2023-07-07 16:00:00+00:00,0.0001
2023-07-08 00:00:00+00:00,0.0001
2023-07-08 08:00:00+00:00,0.0001
2023-07-08 16:00:00+00:00,0.0001
2023-07-09 00:00:00+00:00,0.0001
2023-07-09 08:00:00+00:00,2.842e-05
2023-07-09 16:00:00+00:00,0.0001
2023-07-10 00:00:00+00:00,-2.67e-05
2023-07-10 08:00:00+00:00,0.0001
2023-07-10 16:00:00+00:00,8.101e-05
2023-07-11 00:00:00+00:00,1.725e-05
2023-07-11 08:00:00+00:00,0.0001
2023-07-11 16:00:00+00:00,0.0001
2023-07-12 00:00:00+00:00,0.0001
2023-07-12 08:00:00+00:00,0.0001
2023-07-12 16:00:00+00:00,0.0001
2023-07-13 00:00:00+00:00,0.0001
2023-07-13 08:00:00+00:00,0.0001
2023-07-13 16:00:00+00:00,0.0001
2023-07-14 00:00:00+00:00,0.0001
2023-07-14 08:00:00+00:00,0.0001
2023-07-14 16:00:00+00:00,0.0001
2023-07-15 00:00:00+00:00,0.0001
2023-07-15 08:00:00+00:00,0.0001
2023-07-15 16:00:00+00:00,0.0001
2023-07-16 00:00:00+00:00,0.0001
2023-07-16 08:00:00+00:00,0.0001
2023-07-16 16:00:00+00:00,0.0001
2023-07-17 00:00:00+00:00,0.0001
2023-07-17 08:00:00+00:00,0.0001
2023-07-17 16:00:00+00:00,0.0001
2023-07-18 00:00:00+00:00,0.0001
2023-07-18 08:00:00+00:00,0.0001
2023-07-18 16:00:00+00:00,0.0001
2023-07-19 00:00:00+00:00,0.0001
2023-07-19 08:00:00+00:00,0.0001
2023-07-19 16:00:00+00:00,0.0001
2023-07-20 00:00:00+00:00,0.0001
2023-07-20 08:00:00+00:00,0.0001
2023-07-20 16:00:00+00:00,0.0001
2023-07-21 00:00:00+00:00,0.0001
2023-07-21 08:00:00+00:00,0.0001
2023-07-21 16:00:00+00:00,0.0001
2023-07-22 00:00:00+00:00,0.0001
2023-07-22 08:00:00+00:00,0.0001
2023-07-22 16:00:00+00:00,0.0001
2023-07-23 00:00:00+00:00,4.91e-05
2023-07-23 08:00:00+00:00,7.53e-05
2023-07-23 16:00:00+00:00,0.0001
2023-07-24 00:00:00+00:00,6.746e-05
2023-07-24 08:00:00+00:00,0.0001
2023-07-24 16:00:00+00:00,0.0001
2023-07-25 00:00:00+00:00,0.0001
2023-07-25 08:00:00+00:00,0.0001
